transaction_date,invoice_no,source_system,transaction_type,counterparty_name,counterparty_country,gl_account,description,currency,net_amount,gst_amount,gross_amount,original_tax_code
2026-01-03,S-1001,Xero,SALE,Marina Analytics Pte Ltd,SG,4000 Local Revenue,Local service subscription,SGD,12000,1080,13080,SR-GST
2026-01-05,S-1002,Xero,SALE,Keppel Digital Services,SG,4000 Local Revenue,Local consulting service,SGD,8500,765,9265,SR
2026-01-09,S-1003,Xero,SALE,Temasek Portfolio Ops,SG,4000 Local Revenue,Managed analytics service,SGD,17500,1575,19075,GST
2026-01-12,S-1004,Xero,SALE,DBS Innovation Group,SG,4000 Local Revenue,Local service retainer,SGD,9900,891,10791,SR-GST
2026-01-18,S-1005,Xero,SALE,OCBC Operations,SG,4000 Local Revenue,Dashboard implementation,SGD,14200,1278,15478,SR
2026-01-22,S-1006,Xero,SALE,UOB Data Lab,SG,4000 Local Revenue,Local service analytics,SGD,6800,612,7412,GST
2026-01-28,S-1007,Xero,SALE,QCP Capital Pte Ltd,SG,4000 Local Revenue,GST automation advisory,SGD,30000,2700,32700,SR-GST
2026-02-02,S-1008,Xero,SALE,Mapletree Systems,SG,4000 Local Revenue,Local service support,SGD,7300,657,7957,SR
2026-02-10,S-1009,Xero,SALE,Grab Financial Ops,SG,4000 Local Revenue,Local service enhancement,SGD,11100,999,12099,GST
2026-02-18,S-1010,Xero,SALE,Singtel Enterprise,SG,4000 Local Revenue,Local service monitoring,SGD,9400,846,10246,SR
2026-02-24,S-1011,Xero,SALE,CapitaLand Digital,SG,4000 Local Revenue,Local service analytics sprint,SGD,15800,1422,17222,GST
2026-03-01,S-1012,Xero,SALE,ST Engineering Digital,SG,4000 Local Revenue,Local service deployment,SGD,20600,1854,22454,SR-GST
2026-03-05,S-1013,Xero,SALE,Tokio Marine Asia,SG,4000 Local Revenue,Local service package,SGD,12600,999,13599,SR-GST
2026-03-11,S-1014,Xero,SALE,Sea Group Treasury,SG,4000 Local Revenue,High value GST workflow,SGD,250000,22500,272500,SR-GST
2026-03-14,S-1015,Xero,SALE,Changi AI Office,SG,4000 Local Revenue,Local service model monitoring,SGD,10500,945,11445,SR
